# wio [Celsius] West Indian Ocean SST anomalies
# from <a href=http://www.jamstec.go.jp/frcgc/research/d1/iod/e/iod/about_iod.html>JAMSTEC</a>
1941 5 0.292569
1941 6 0.423382
1941 7 0.529902
1941 8 0.523286
1941 9 0.183473
1941 10 0.181158
1941 11 0.115461
1941 12 0.493144
1942 1 0.254959
1942 2 0.198001
1942 3 0.416512
1942 4 0.289825
1942 5 0.361883
1942 6 0.519557
1942 7 0.11482
1942 8 0.636303
1942 9 0.392986
1942 10 -0.0420564
1942 11 0.0564383
1942 12 -0.0528382
1943 1 -0.151474
1943 2 -0.190165
1943 3 -0.210284
1943 4 -0.278819
1943 5 -0.050777
1943 6 -0.394223
1943 7 -0.401395
1943 8 -0.279165
1943 9 0.266905
1943 10 0.142981
1943 11 0.229877
1943 12 0.12604
1944 1 0.0231383
1944 2 -0.35559
1944 3 0.0323442
1944 4 -0.0583881
1944 5 -0.327304
1944 6 0.036918
1944 7 -0.0991535
1944 8 -0.126597
1944 9 0.00732778
1944 10 0.175158
1944 11 0.0424496
1944 12 0.0993457
1945 1 0.401567
1945 2 0.291898
1945 3 -0.343427
1945 4 -0.18369
1945 5 -0.0470152
1945 6 0.146826
1945 7 0.42239
1945 8 0.431644
1945 9 0.0328851
1945 10 -0.0532572
1945 11 -0.0803577
1945 12 0.137991
1946 1 -0.26442
1946 2 -0.126582
1946 3 0.0223987
1946 4 0.323177
1946 5 -0.405666
1946 6 -0.120181
1946 7 -0.319935
1946 8 -0.588127
1946 9 -0.445696
1946 10 -0.163055
1946 11 -0.383321
1946 12 -0.335334
1947 1 0.0302451
1947 2 -0.321936
1947 3 -0.308016
1947 4 -0.511476
1947 5 -0.422003
1947 6 -0.275376
1947 7 -0.118649
1947 8 0.0598994
1947 9 0.0437588
1947 10 -0.197787
1947 11 -0.391713
1947 12 -0.502025
1948 1 -0.346484
1948 2 -0.252503
1948 3 -0.2054
1948 4 -0.2073
1948 5 -0.315513
1948 6 -0.288189
1948 7 -0.135929
1948 8 -0.00851014
1948 9 -0.161393
1948 10 -0.190462
1948 11 -0.237241
1948 12 0.15396
1949 1 -0.415885
1949 2 -0.478694
1949 3 -0.316943
1949 4 -0.536716
1949 5 -0.410481
1949 6 -0.387174
1949 7 -0.294678
1949 8 -0.453777
1949 9 -0.346302
1949 10 -0.323524
1949 11 -0.0757798
1949 12 -0.156228
1950 1 -0.325364
1950 2 -0.0376976
1950 3 0.222067
1950 4 -0.163141
1950 5 -0.200572
1950 6 -0.0897483
1950 7 -0.278909
1950 8 -0.441934
1950 9 -0.185799
1950 10 -0.125785
1950 11 -0.476157
1950 12 -0.589216
1951 1 -0.811511
1951 2 -0.725232
1951 3 -0.59256
1951 4 -0.226692
1951 5 -0.359856
1951 6 -0.0910596
1951 7 -0.187471
1951 8 -0.367367
1951 9 -0.126985
1951 10 -0.062535
1951 11 -0.18955
1951 12 0.0456924
1952 1 -0.0970695
1952 2 -0.131319
1952 3 -0.224502
1952 4 -0.165514
1952 5 -0.0679823
1952 6 -0.16604
1952 7 -0.0518017
1952 8 -0.0584849
1952 9 0.0313906
1952 10 -0.111891
1952 11 -0.23066
1952 12 -0.223361
1953 1 -0.40602
1953 2 -0.458701
1953 3 -0.18088
1953 4 -0.0877227
1953 5 -0.306041
1953 6 0.00353375
1953 7 -0.246628
1953 8 -0.290502
1953 9 -0.339229
1953 10 -0.15134
1953 11 0.00456424
1953 12 0.202664
1954 1 0.147357
1954 2 0.119394
1954 3 -0.0285496
1954 4 -0.164076
1954 5 0.210767
1954 6 0.0462845
1954 7 -0.0987517
1954 8 -0.183656
1954 9 -0.201019
1954 10 -0.226058
1954 11 -0.222543
1954 12 -0.56301
1955 1 -0.177578
1955 2 -0.399303
1955 3 -0.420503
1955 4 -0.421722
1955 5 0.0312635
1955 6 -0.35154
1955 7 -0.254606
1955 8 -0.0608065
1955 9 0.135489
1955 10 -0.0389811
1955 11 -0.281612
1955 12 -0.139347
1956 1 -0.251545
1956 2 -0.429283
1956 3 -0.337449
1956 4 -0.0692511
1956 5 -0.104316
1956 6 0.106492
1956 7 0.212459
1956 8 0.0921599
1956 9 0.029691
1956 10 0.0525003
1956 11 -0.0418975
1956 12 -0.21055
1957 1 0.116202
1957 2 0.195247
1957 3 -0.0226416
1957 4 0.0689469
1957 5 0.338202
1957 6 0.157016
1957 7 0.0848555
1957 8 0.00320541
1957 9 -0.154924
1957 10 0.00976258
1957 11 0.304559
1957 12 0.0398022
1958 1 0.474017
1958 2 0.31324
1958 3 0.26293
1958 4 0.194409
1958 5 0.240459
1958 6 0.413852
1958 7 0.719995
1958 8 0.90705
1958 9 0.758411
1958 10 0.51176
1958 11 0.360035
1958 12 0.52112
1959 1 0.189151
1959 2 0.601106
1959 3 0.428936
1959 4 0.178999
1959 5 0.459191
1959 6 0.301485
1959 7 0.0655504
1959 8 0.250902
1959 9 0.159908
1959 10 0.149351
1959 11 0.300775
1959 12 0.22237
1960 1 0.0445648
1960 2 -0.141663
1960 3 0.282696
1960 4 0.531889
1960 5 0.531246
1960 6 0.334495
1960 7 0.245304
1960 8 0.0364503
1960 9 0.148316
1960 10 0.277414
1960 11 0.242472
1960 12 0.320301
1961 1 -0.164735
1961 2 -0.19676
1961 3 -0.0802325
1961 4 0.404153
1961 5 0.0399631
1961 6 -0.246024
1961 7 -0.726342
1961 8 -0.863785
1961 9 -0.733011
1961 10 -0.568783
1961 11 -0.463808
1961 12 -0.30712
1962 1 -0.582766
1962 2 -0.719726
1962 3 -0.346662
1962 4 -0.122324
1962 5 0.0224224
1962 6 0.00318667
1962 7 -0.0166902
1962 8 0.0421088
1962 9 -0.163758
1962 10 -0.041244
1962 11 -0.0096383
1962 12 -0.0183259
1963 1 -0.456135
1963 2 -0.576341
1963 3 -0.44966
1963 4 -0.227928
1963 5 -0.0996107
1963 6 -0.114822
1963 7 -0.442296
1963 8 -0.68549
1963 9 -0.469007
1963 10 -0.511064
1963 11 -0.224256
1963 12 0.0614982
1964 1 0.602535
1964 2 0.699553
1964 3 0.340036
1964 4 0.19327
1964 5 0.0515486
1964 6 0.013429
1964 7 0.0478742
1964 8 -0.153717
1964 9 0.0894571
1964 10 0.216691
1964 11 -0.409995
1964 12 -0.403579
1965 1 -0.232277
1965 2 0.00128029
1965 3 -0.369234
1965 4 -0.188631
1965 5 -0.131764
1965 6 -0.153827
1965 7 -0.188557
1965 8 -0.222893
1965 9 -0.1811
1965 10 -0.35771
1965 11 -0.0515634
1965 12 0.060558
1966 1 0.0691404
1966 2 0.319657
1966 3 0.249872
1966 4 0.135784
1966 5 -0.0135115
1966 6 -0.112903
1966 7 -0.257752
1966 8 -0.426132
1966 9 -0.301274
1966 10 -0.0565798
1966 11 0.0763629
1966 12 -0.12854
1967 1 -0.398602
1967 2 -0.550848
1967 3 -0.490866
1967 4 -0.0484554
1967 5 -0.0119124
1967 6 -0.238235
1967 7 -0.681659
1967 8 -0.562318
1967 9 -0.611354
1967 10 -0.334883
1967 11 -0.143275
1967 12 -0.237892
1968 1 -0.469409
1968 2 -0.488931
1968 3 -0.376414
1968 4 -0.228225
1968 5 -0.0503307
1968 6 -0.00224331
1968 7 0.156729
1968 8 0.208576
1968 9 0.392418
1968 10 0.196193
1968 11 0.215089
1968 12 0.185268
1969 1 0.382088
1969 2 0.375008
1969 3 0.339041
1969 4 0.335892
1969 5 0.329297
1969 6 0.336289
1969 7 0.131994
1969 8 0.0608284
1969 9 0.0465422
1969 10 0.207544
1969 11 0.0823662
1969 12 0.254284
1970 1 0.16966
1970 2 -0.0733685
1970 3 0.221267
1970 4 -0.0366187
1970 5 -0.071653
1970 6 0.218241
1970 7 0.265416
1970 8 0.0652149
1970 9 0.25598
1970 10 0.141886
1970 11 -0.00756349
1970 12 -0.182874
1971 1 -0.571179
1971 2 -0.712787
1971 3 -0.817525
1971 4 -0.477368
1971 5 -0.2648
1971 6 -0.130899
1971 7 -0.114524
1971 8 0.092121
1971 9 0.124504
1971 10 0.0280731
1971 11 -0.271476
1971 12 -0.422786
1972 1 -0.201188
1972 2 -0.0272216
1972 3 -0.397529
1972 4 -0.208351
1972 5 -0.0845401
1972 6 -0.286081
1972 7 -0.359605
1972 8 -0.192093
1972 9 -0.055457
1972 10 0.0560354
1972 11 -0.115332
1972 12 0.051144
1973 1 0.514711
1973 2 0.310549
1973 3 0.259415
1973 4 0.454087
1973 5 0.260837
1973 6 0.333066
1973 7 0.558327
1973 8 0.53074
1973 9 0.636115
1973 10 0.290789
1973 11 -0.0157783
1973 12 -0.374561
1974 1 -0.632528
1974 2 -0.582768
1974 3 -0.582145
1974 4 -0.344762
1974 5 -0.173639
